campaign,kit_id,transect_location,tss_mg_perl,total_filter_mass_g,volume_filtered_ml,filters_used,tss_flag
EC1,K004,Water,44.98,0.05,1057.85,3,NA
EC1,K008,Water,30.81,0.03,1060.8,2,NA
EC1,K009,Water,221.17,0.23,1057.93,3,NA
EC1,K010,Water,78.45,0.08,1053.9,3,NA
EC1,K011,Water,38.77,0.04,1057.09,2,NA
EC1,K012,Water,1234.37,0.78,634,5,NA
EC1,K013,Water,296.42,0.31,1034.63,3,NA
EC1,K014,Water,NA,0,NA,2,missing filter mass
EC1,K015,Water,63.06,0.07,1055.81,1,NA
EC1,K016,Water,50.46,0.05,1047.97,1,NA
EC1,K017,Water,89.24,0.09,1055.45,2,NA
EC1,K018,Water,37.09,0.04,1048.42,1,NA
EC1,K019,Water,5.03,0.01,1031.07,1,NA
EC1,K020,Water,3.12,0,1053.4,1,outside range
EC1,K021,Water,56.14,0.06,1013.27,2,NA
EC1,K022,Water,17.44,0.02,1059.87,3,NA
EC1,K023,Water,11.98,0.01,1059,1,NA
EC1,K024,Water,18.01,0.02,1054.01,1,NA
EC1,K025,Water,27.51,0.03,962.88,1,NA
EC1,K026,Water,381.88,0.38,996.86,4,NA
EC1,K029,Water,-265.2,-0.28,1044.93,3,"negative filter mass, outside range"
EC1,K030,Water,51.44,0.05,1035.89,1,NA
EC1,K033,Water,4.46,0,1050.95,1,NA
EC1,K034,Water,18.78,0.02,1053.54,2,NA
EC1,K035,Water,18.44,0.02,1056.85,1,NA
EC1,K036,Water,11.97,0.01,1051.23,1,NA
EC1,K037,Water,9.03,0.01,1061,1,NA
EC1,K038,Water,33.76,0.04,1059.99,2,NA
EC1,K039,Water,2.01,0,1035.56,1,outside range
EC1,K040,Water,29.77,0.03,1010.71,1,NA
EC1,K041,Water,54.3,0.06,1029.2,1,NA
EC1,K042,Water,15.44,0.02,1048.41,1,NA
EC1,K043,Water,137.07,0.12,854.22,2,NA
EC1,K044,Water,124.68,0.13,1049.72,2,NA
EC1,K045,Water,7.11,0.01,1052.89,2,NA
EC1,K046,Water,179.66,0.19,1042.97,2,NA
EC1,K047,Water,4.34,0,988.23,1,NA
EC1,K048,Water,9.17,0.01,1001.35,2,NA
EC1,K049,Water,5.1,0.01,1055.25,1,NA
EC1,K050,Water,23.82,0.03,1053.06,3,NA
EC1,K051,Water,20.42,0.02,1057.2,2,NA
EC1,K052,Water,24.73,0.03,1050.7,1,NA
EC1,K053,Water,15.16,0.02,1060.61,1,NA
EC1,K054,Water,616.47,0.62,1009.43,3,NA
EC1,K055,Water,15.2,0.01,887.4,1,NA
EC1,K056,Water,205.78,0.22,1054.46,3,NA
EC1,K057,Water,NA,0,NA,2,missing filter mass
EC1,K058,Water,31.08,0.03,1048.38,1,NA
EC1,K059,Water,55.2,0.06,1052.24,2,NA
EC1,K060,Water,162.4,0.14,841.67,3,NA
EC1,K061,Water,72.64,0.08,1051.5,2,NA
EC1,K062,Water,52.73,0.06,1054.05,1,NA
